timestamp,instrument,open,high,low,close,volume
2026-05-14 09:15:00,NIFTY,23530.25,23570.85,23530.25,23534.35,0
2026-05-14 09:16:00,NIFTY,23536.05,23563.9,23515.6,23541.5,0
2026-05-14 09:17:00,NIFTY,23540.35,23567.95,23535.3,23567.25,0
2026-05-14 09:18:00,NIFTY,23568.65,23581.5,23558.95,23560.0,0
2026-05-14 09:19:00,NIFTY,23558.4,23560.95,23548.6,23550.05,0
2026-05-14 09:20:00,NIFTY,23549.9,23571.4,23548.9,23557.3,0
2026-05-14 09:21:00,NIFTY,23558.55,23573.75,23554.35,23558.5,0
2026-05-14 09:22:00,NIFTY,23559.5,23575.65,23558.4,23567.95,0
2026-05-14 09:23:00,NIFTY,23568.7,23572.3,23560.0,23566.85,0
2026-05-14 09:24:00,NIFTY,23566.65,23570.3,23556.8,23569.45,0
2026-05-14 09:25:00,NIFTY,23569.7,23575.3,23564.3,23567.25,0
2026-05-14 09:26:00,NIFTY,23567.3,23581.25,23564.55,23578.25,0
2026-05-14 09:27:00,NIFTY,23578.5,23580.3,23568.3,23571.0,0
2026-05-14 09:28:00,NIFTY,23571.15,23576.9,23567.65,23573.95,0
2026-05-14 09:29:00,NIFTY,23573.8,23589.2,23573.3,23581.3,0
2026-05-14 09:30:00,NIFTY,23581.35,23586.2,23571.8,23573.9,0
2026-05-14 09:31:00,NIFTY,23573.45,23579.85,23570.55,23577.85,0
2026-05-14 09:32:00,NIFTY,23580.0,23580.0,23570.05,23574.65,0
2026-05-14 09:33:00,NIFTY,23577.25,23581.8,23573.1,23576.15,0
2026-05-14 09:34:00,NIFTY,23577.55,23580.25,23562.8,23564.3,0
2026-05-14 09:35:00,NIFTY,23565.5,23565.55,23557.3,23560.65,0
2026-05-14 09:36:00,NIFTY,23562.9,23569.95,23549.3,23550.3,0
2026-05-14 09:37:00,NIFTY,23551.7,23553.5,23538.95,23552.6,0
2026-05-14 09:38:00,NIFTY,23553.75,23553.75,23538.7,23540.85,0
2026-05-14 09:39:00,NIFTY,23541.85,23541.85,23523.85,23524.5,0
2026-05-14 09:40:00,NIFTY,23525.75,23526.3,23517.15,23518.25,0
2026-05-14 09:41:00,NIFTY,23521.05,23521.25,23511.05,23511.1,0
2026-05-14 09:42:00,NIFTY,23512.95,23512.95,23502.35,23503.55,0
2026-05-14 09:43:00,NIFTY,23505.4,23512.5,23504.3,23505.35,0
2026-05-14 09:44:00,NIFTY,23506.75,23509.05,23493.8,23496.8,0
2026-05-14 09:45:00,NIFTY,23499.0,23516.45,23496.45,23515.8,0
2026-05-14 09:46:00,NIFTY,23518.4,23532.95,23514.85,23517.35,0
2026-05-14 09:47:00,NIFTY,23519.65,23526.25,23515.3,23516.45,0
2026-05-14 09:48:00,NIFTY,23517.4,23518.45,23495.25,23497.05,0
2026-05-14 09:49:00,NIFTY,23498.25,23498.25,23490.2,23492.65,0
2026-05-14 09:50:00,NIFTY,23494.05,23498.35,23489.15,23494.0,0
