timestamp,instrument,open,high,low,close,volume
2026-03-02 09:15:00,NIFTY,24659.25,24948.45,24645.1,24860.75,0
2026-03-02 09:16:00,NIFTY,24857.8,24860.65,24836.3,24838.8,0
2026-03-02 09:17:00,NIFTY,24846.5,24895.4,24846.5,24870.1,0
2026-03-02 09:18:00,NIFTY,24881.2,24887.9,24853.65,24870.3,0
2026-03-02 09:19:00,NIFTY,24870.4,24892.95,24864.9,24892.95,0
2026-03-02 09:20:00,NIFTY,24891.3,24941.65,24891.3,24929.85,0
2026-03-02 09:21:00,NIFTY,24934.25,24958.8,24927.15,24929.45,0
2026-03-02 09:22:00,NIFTY,24928.75,24934.25,24908.65,24925.8,0
2026-03-02 09:23:00,NIFTY,24925.5,24925.5,24878.8,24885.6,0
2026-03-02 09:24:00,NIFTY,24886.6,24910.15,24886.6,24896.5,0
2026-03-02 09:25:00,NIFTY,24896.7,24896.7,24863.15,24866.25,0
2026-03-02 09:26:00,NIFTY,24864.6,24884.35,24857.1,24884.35,0
2026-03-02 09:27:00,NIFTY,24883.5,24912.15,24882.05,24909.85,0
2026-03-02 09:28:00,NIFTY,24907.05,24920.15,24905.75,24920.15,0
2026-03-02 09:29:00,NIFTY,24917.8,24917.8,24882.55,24889.4,0
2026-03-02 09:30:00,NIFTY,24889.75,24927.1,24885.45,24927.1,0
2026-03-02 09:31:00,NIFTY,24926.8,24934.6,24924.3,24931.15,0
2026-03-02 09:32:00,NIFTY,24929.6,24939.5,24915.9,24935.05,0
2026-03-02 09:33:00,NIFTY,24933.65,24971.6,24932.6,24964.15,0
2026-03-02 09:34:00,NIFTY,24963.25,24975.45,24963.0,24974.55,0
2026-03-02 09:35:00,NIFTY,24975.7,24977.6,24961.75,24969.8,0
2026-03-02 09:36:00,NIFTY,24967.5,24974.4,24944.55,24947.95,0
2026-03-02 09:37:00,NIFTY,24948.8,24953.05,24923.8,24931.8,0
2026-03-02 09:38:00,NIFTY,24931.6,24952.9,24926.6,24943.85,0
2026-03-02 09:39:00,NIFTY,24944.15,24955.9,24941.45,24949.8,0
2026-03-02 09:40:00,NIFTY,24948.55,24973.5,24944.25,24944.25,0
2026-03-02 09:41:00,NIFTY,24946.15,24972.5,24936.25,24961.2,0
2026-03-02 09:42:00,NIFTY,24959.9,24968.45,24955.15,24967.25,0
2026-03-02 09:43:00,NIFTY,24967.65,24977.1,24964.2,24966.0,0
2026-03-02 09:44:00,NIFTY,24967.1,24971.5,24961.5,24963.65,0
2026-03-02 09:45:00,NIFTY,24964.3,24972.7,24962.25,24966.3,0
2026-03-02 09:46:00,NIFTY,24964.05,24975.8,24954.25,24973.2,0
2026-03-02 09:47:00,NIFTY,24975.15,24978.85,24968.8,24978.85,0
2026-03-02 09:48:00,NIFTY,24976.85,24989.35,24969.4,24972.8,0
2026-03-02 09:49:00,NIFTY,24970.3,24970.3,24948.6,24953.2,0
2026-03-02 09:50:00,NIFTY,24949.4,24951.1,24927.4,24943.8,0
2026-03-02 09:51:00,NIFTY,24943.75,24946.5,24921.7,24945.65,0
2026-03-02 09:52:00,NIFTY,24945.5,24948.65,24921.05,24921.05,0
2026-03-02 09:53:00,NIFTY,24916.5,24919.5,24898.4,24898.4,0
2026-03-02 09:54:00,NIFTY,24897.5,24905.7,24883.2,24884.15,0
2026-03-02 09:55:00,NIFTY,24886.7,24900.25,24886.1,24897.0,0
2026-03-02 09:56:00,NIFTY,24899.5,24904.05,24896.2,24902.25,0
2026-03-02 09:57:00,NIFTY,24904.0,24931.3,24902.6,24931.3,0
2026-03-02 09:58:00,NIFTY,24931.05,24939.85,24926.85,24931.3,0
2026-03-02 09:59:00,NIFTY,24932.15,24946.1,24930.15,24945.1,0
2026-03-02 10:00:00,NIFTY,24946.2,24952.5,24937.15,24939.65,0
2026-03-02 10:01:00,NIFTY,24941.3,24942.75,24933.45,24934.3,0
2026-03-02 10:02:00,NIFTY,24934.4,24935.35,24914.25,24914.25,0
2026-03-02 10:03:00,NIFTY,24913.3,24923.4,24906.65,24909.1,0
2026-03-02 10:04:00,NIFTY,24908.75,24911.8,24894.65,24898.25,0
2026-03-02 10:05:00,NIFTY,24898.95,24905.95,24898.6,24902.9,0
2026-03-02 10:06:00,NIFTY,24903.45,24903.45,24893.35,24899.7,0
2026-03-02 10:07:00,NIFTY,24902.15,24909.6,24885.35,24889.1,0
2026-03-02 10:08:00,NIFTY,24888.6,24889.45,24874.15,24879.85,0
2026-03-02 10:09:00,NIFTY,24878.95,24885.9,24876.9,24884.65,0
2026-03-02 10:10:00,NIFTY,24885.25,24894.0,24869.35,24869.35,0
2026-03-02 10:11:00,NIFTY,24871.9,24882.85,24867.6,24872.05,0
2026-03-02 10:12:00,NIFTY,24872.2,24873.6,24865.7,24868.3,0
2026-03-02 10:13:00,NIFTY,24868.45,24882.95,24868.45,24881.2,0
2026-03-02 10:14:00,NIFTY,24878.15,24885.9,24872.05,24884.85,0
2026-03-02 10:15:00,NIFTY,24885.35,24887.85,24875.4,24878.55,0
2026-03-02 10:16:00,NIFTY,24878.5,24879.3,24859.8,24859.85,0
2026-03-02 10:17:00,NIFTY,24861.05,24868.05,24853.7,24867.8,0
2026-03-02 10:18:00,NIFTY,24867.8,24879.95,24866.6,24877.5,0
2026-03-02 10:19:00,NIFTY,24878.0,24887.55,24874.75,24876.4,0
2026-03-02 10:20:00,NIFTY,24876.55,24876.75,24856.85,24857.8,0
2026-03-02 10:21:00,NIFTY,24858.45,24873.0,24857.8,24867.25,0
2026-03-02 10:22:00,NIFTY,24866.9,24872.05,24857.65,24871.05,0
2026-03-02 10:23:00,NIFTY,24871.8,24875.15,24864.1,24864.65,0
2026-03-02 10:24:00,NIFTY,24862.15,24869.95,24858.55,24864.6,0
2026-03-02 10:25:00,NIFTY,24863.6,24866.8,24858.1,24864.2,0
2026-03-02 10:26:00,NIFTY,24862.1,24870.75,24861.75,24870.4,0
2026-03-02 10:27:00,NIFTY,24870.5,24873.5,24859.35,24860.35,0
2026-03-02 10:28:00,NIFTY,24861.95,24865.15,24858.1,24858.1,0
2026-03-02 10:29:00,NIFTY,24858.85,24865.6,24856.4,24859.6,0
2026-03-02 10:30:00,NIFTY,24860.95,24863.6,24853.3,24860.35,0
2026-03-02 10:31:00,NIFTY,24858.75,24879.15,24858.75,24878.75,0
2026-03-02 10:32:00,NIFTY,24879.05,24879.35,24867.25,24867.25,0
2026-03-02 10:33:00,NIFTY,24867.85,24879.5,24865.75,24879.0,0
2026-03-02 10:34:00,NIFTY,24879.95,24885.25,24871.45,24872.7,0
2026-03-02 10:35:00,NIFTY,24874.05,24878.6,24858.65,24860.1,0
2026-03-02 10:36:00,NIFTY,24859.5,24865.95,24846.85,24850.65,0
2026-03-02 10:37:00,NIFTY,24851.15,24863.9,24843.7,24860.75,0
2026-03-02 10:38:00,NIFTY,24861.15,24869.25,24857.05,24857.8,0
2026-03-02 10:39:00,NIFTY,24857.1,24858.0,24852.45,24855.25,0
2026-03-02 10:40:00,NIFTY,24855.45,24855.75,24845.35,24850.65,0
2026-03-02 10:41:00,NIFTY,24850.15,24855.15,24849.5,24853.9,0
2026-03-02 10:42:00,NIFTY,24853.95,24857.8,24849.2,24852.3,0
2026-03-02 10:43:00,NIFTY,24850.45,24851.3,24824.0,24824.8,0
2026-03-02 10:44:00,NIFTY,24825.65,24828.1,24812.25,24813.7,0
2026-03-02 10:45:00,NIFTY,24814.8,24829.35,24814.0,24824.3,0
2026-03-02 10:46:00,NIFTY,24824.55,24837.95,24821.35,24829.45,0
2026-03-02 10:47:00,NIFTY,24829.75,24836.3,24823.3,24833.55,0
2026-03-02 10:48:00,NIFTY,24833.2,24835.8,24825.3,24830.35,0
2026-03-02 10:49:00,NIFTY,24830.45,24831.4,24817.15,24818.8,0
2026-03-02 10:50:00,NIFTY,24818.4,24828.25,24818.3,24826.6,0
2026-03-02 10:51:00,NIFTY,24826.95,24828.1,24822.2,24826.55,0
2026-03-02 10:52:00,NIFTY,24827.7,24834.05,24827.15,24829.0,0
2026-03-02 10:53:00,NIFTY,24828.85,24831.55,24826.3,24828.0,0
2026-03-02 10:54:00,NIFTY,24826.85,24830.35,24823.75,24828.85,0
2026-03-02 10:55:00,NIFTY,24828.6,24840.05,24826.65,24839.05,0
2026-03-02 10:56:00,NIFTY,24840.2,24846.75,24840.2,24840.55,0
2026-03-02 10:57:00,NIFTY,24842.8,24847.9,24840.85,24846.8,0
2026-03-02 10:58:00,NIFTY,24847.95,24859.2,24843.5,24855.9,0
2026-03-02 10:59:00,NIFTY,24856.7,24858.4,24854.75,24855.15,0
2026-03-02 11:00:00,NIFTY,24856.3,24860.35,24849.35,24850.25,0
2026-03-02 11:01:00,NIFTY,24850.35,24858.8,24850.25,24857.05,0
2026-03-02 11:02:00,NIFTY,24857.0,24867.5,24854.9,24861.75,0
2026-03-02 11:03:00,NIFTY,24862.15,24868.7,24861.2,24865.15,0
2026-03-02 11:04:00,NIFTY,24866.15,24868.2,24854.05,24854.05,0
2026-03-02 11:05:00,NIFTY,24853.75,24856.25,24842.55,24855.45,0
2026-03-02 11:06:00,NIFTY,24855.9,24865.4,24855.9,24860.5,0
2026-03-02 11:07:00,NIFTY,24861.05,24864.85,24853.9,24854.6,0
2026-03-02 11:08:00,NIFTY,24856.3,24860.5,24854.2,24854.2,0
2026-03-02 11:09:00,NIFTY,24854.25,24861.6,24853.8,24858.2,0
2026-03-02 11:10:00,NIFTY,24859.3,24860.35,24849.6,24850.95,0
2026-03-02 11:11:00,NIFTY,24851.1,24851.55,24844.85,24849.35,0
2026-03-02 11:12:00,NIFTY,24850.0,24852.95,24842.45,24848.25,0
2026-03-02 11:13:00,NIFTY,24848.0,24852.25,24844.85,24851.6,0
2026-03-02 11:14:00,NIFTY,24851.0,24851.15,24839.35,24843.2,0
2026-03-02 11:15:00,NIFTY,24844.8,24849.2,24839.25,24841.15,0
2026-03-02 11:16:00,NIFTY,24840.5,24846.6,24838.35,24839.9,0
2026-03-02 11:17:00,NIFTY,24839.4,24841.35,24831.55,24836.05,0
2026-03-02 11:18:00,NIFTY,24836.85,24842.0,24835.65,24838.05,0
2026-03-02 11:19:00,NIFTY,24834.35,24839.65,24831.55,24831.55,0
2026-03-02 11:20:00,NIFTY,24830.0,24830.25,24819.85,24826.05,0
2026-03-02 11:21:00,NIFTY,24827.35,24831.35,24822.95,24830.15,0
2026-03-02 11:22:00,NIFTY,24829.9,24834.95,24829.1,24832.55,0
2026-03-02 11:23:00,NIFTY,24832.95,24832.95,24820.3,24822.75,0
2026-03-02 11:24:00,NIFTY,24823.1,24827.3,24821.45,24825.15,0
2026-03-02 11:25:00,NIFTY,24825.35,24828.05,24821.15,24827.1,0
2026-03-02 11:26:00,NIFTY,24827.35,24829.25,24813.75,24816.6,0
2026-03-02 11:27:00,NIFTY,24819.9,24820.0,24808.1,24810.65,0
2026-03-02 11:28:00,NIFTY,24810.4,24810.6,24800.9,24810.6,0
2026-03-02 11:29:00,NIFTY,24809.75,24809.75,24797.55,24803.0,0
2026-03-02 11:30:00,NIFTY,24802.8,24803.4,24797.45,24801.0,0
2026-03-02 11:31:00,NIFTY,24800.25,24813.5,24797.8,24806.35,0
2026-03-02 11:32:00,NIFTY,24806.9,24813.8,24803.45,24805.9,0
2026-03-02 11:33:00,NIFTY,24805.65,24807.35,24799.2,24805.8,0
